,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
0,1,30,2,2,0.5,1,7.201270829648719e-16,0.9999999999999992,0.4999999999999996,100,0.7333333333419711,1.9712820518761511,1
1,1,30,2,4,0.25,2,-1.1969591984239971e-16,1.0000000000000002,0.25,100,0.0885547201329239,0.130866441426685,1
2,1,30,2,6,0.1666666666666666,3,-2.8297676701871666e-17,1.0,0.1666666666666666,100,0.0408662326177936,0.0452989288427758,1
3,1,30,2,8,0.125,4,2.122325752640375e-17,1.0,0.125,100,0.0352297126507487,0.0367093330813593,1
4,1,30,2,10,0.1,5,-3.144186300207963e-17,1.0,0.1,100,0.0345642900944466,0.0357795787943323,1
5,1,30,2,12,0.0833333333333333,6,-2.0308292536779654e-16,1.0000000000000002,0.0833333333333333,100,0.0344909955242876,0.0356823557050579,1
6,1,30,2,14,0.0714285714285714,7,-4.2012834183813297e-19,1.0,0.0714285714285714,100,0.0344835321887837,0.035672785779978,1
7,1,30,2,16,0.0625,8,6.061706583730675e-17,1.0,0.0624999999999999,100,0.0344828266378236,0.035671903142114,1
8,1,45,2,2,0.5,1,-1.4068607390171906e-15,1.000000000000001,0.5000000000000007,100,0.6474254742635871,1.6918366494774275,1
9,1,45,2,4,0.25,2,-9.6710833785707e-17,1.0,0.25,100,0.0690825545231223,0.1027795275623802,1
10,1,45,2,6,0.1666666666666666,3,-1.478851763270228e-16,1.0000000000000002,0.1666666666666667,100,0.0277911109772999,0.0306810079541472,1
11,1,45,2,8,0.125,4,9.812029660993815e-17,1.0,0.1249999999999999,100,0.0232670315889023,0.0239735144183969,1
12,1,45,2,10,0.1,5,-3.0852328070790636e-17,1.0,0.1,100,0.022780270775938,0.0233119489850732,1
13,1,45,2,12,0.0833333333333333,6,-3.3115600105854126e-16,1.0000000000000002,0.0833333333333333,100,0.0227320358658343,0.0232497254994353,1
14,1,45,2,14,0.0714285714285714,7,9.717161970901331e-17,1.0,0.0714285714285714,100,0.0227276666412393,0.0232442804559578,1
15,1,45,2,16,0.0625,8,-7.808288520969041e-17,1.0,0.0625,100,0.0227273029169673,0.0232438366195068,1
16,1,60,2,2,0.5,1,8.148965172354722e-16,0.9999999999999992,0.4999999999999996,100,0.6077380952937592,1.5681749608324076,1
17,1,60,2,4,0.25,2,-1.3314002678121994e-16,1.0000000000000002,0.25,100,0.0597612341742963,0.0897713063569592,1
18,1,60,2,6,0.1666666666666666,3,7.806255641895632e-17,1.0,0.1666666666666666,100,0.021433673714467,0.0237380090669072,1
19,1,60,2,8,0.125,4,6.830473686658678e-17,1.0,0.1249999999999999,100,0.017403474798524,0.0178425951192487,1
20,1,60,2,10,0.1,5,3.8069048781397274e-17,1.0,0.1,100,0.0169912418706946,0.0172898278336582,1
21,1,60,2,12,0.0833333333333333,6,-1.434814520342477e-16,1.0000000000000002,0.0833333333333333,100,0.0169526980863948,0.0172407782101146,1
22,1,60,2,14,0.0714285714285714,7,-2.7240579583698305e-17,1.0,0.0714285714285714,100,0.0169494256765868,0.0172367534464438,1
23,1,60,2,16,0.0625,8,7.778472961225691e-17,1.0,0.0624999999999999,100,0.0169491719490788,0.017236449630591,1
24,1,90,2,2,0.5,1,-7.1530238329731155e-16,1.0000000000000009,0.5000000000000003,100,0.570025839792728,1.4538757686280896,1
25,1,90,2,4,0.25,2,5.538104697055959e-16,0.9999999999999994,0.2499999999999998,100,0.0507024522722575,0.0774025190378509,1
26,1,90,2,6,0.1666666666666666,3,8.153200337090993e-16,0.9999999999999992,0.1666666666666665,100,0.0151904764204441,0.0170230292577604,1
27,1,90,2,8,0.125,4,2.673100456263011e-16,0.9999999999999998,0.1249999999999999,100,0.0116154781358276,0.0118621012279951,1
28,1,90,2,10,0.1,5,2.0193604275721422e-16,0.9999999999999998,0.0999999999999999,100,0.0112689892079786,0.0114035734803375,1
29,1,90,2,12,0.0833333333333333,6,-2.5851784363380153e-16,1.0000000000000002,0.0833333333333333,100,0.0112385498476549,0.0113653436257618,1
30,1,90,2,14,0.0714285714285714,7,-3.941439121152128e-16,1.0000000000000004,0.0714285714285714,100,0.011236140113953,0.011362419890731,1
31,1,90,2,16,0.0625,8,-1.254557438837289e-16,1.0000000000000002,0.0625,100,0.0112359671239761,0.0113622146327604,1
32,1,120,2,2,0.5,1,1.626953780031748e-15,0.9999999999999984,0.4999999999999991,100,0.5518678160915975,1.3999627795627556,1
